Strategy,Window,Parameter,Value
MACD,W1,Fast Window Size,8
MACD,W1,Slow Window Size,2584
MACD,W1,Signal Window Size,987
MACD,W1,Short Sell,True
MACD,W2,Fast Window Size,377
MACD,W2,Slow Window Size,610
MACD,W2,Signal Window Size,610
MACD,W2,Short Sell,True
MACD,W3,Fast Window Size,987
MACD,W3,Slow Window Size,2584
MACD,W3,Signal Window Size,987
MACD,W3,Short Sell,True
MACD,W4,Fast Window Size,610
MACD,W4,Slow Window Size,2584
MACD,W4,Signal Window Size,987
MACD,W4,Short Sell,True
MACD,W5,Fast Window Size,987
MACD,W5,Slow Window Size,1597
MACD,W5,Signal Window Size,987
MACD,W5,Short Sell,False
MACD,W6,Fast Window Size,1597
MACD,W6,Slow Window Size,2584
MACD,W6,Signal Window Size,377
MACD,W6,Short Sell,False
RSI,W1,Window Size,21
RSI,W1,Enter Long,80
RSI,W1,Exit Long,-
RSI,W1,Enter Short,25
RSI,W1,Exit Short,-
RSI,W2,Window Size,34
RSI,W2,Enter Long,75
RSI,W2,Exit Long,-
RSI,W2,Enter Short,25
RSI,W2,Exit Short,-
RSI,W3,Window Size,5
RSI,W3,Enter Long,95
RSI,W3,Exit Long,-
RSI,W3,Enter Short,15
RSI,W3,Exit Short,-
RSI,W4,Window Size,8
RSI,W4,Enter Long,90
RSI,W4,Exit Long,5
RSI,W4,Enter Short,-
RSI,W4,Exit Short,85
RSI,W5,Window Size,13
RSI,W5,Enter Long,90
RSI,W5,Exit Long,20
RSI,W5,Enter Short,-
RSI,W5,Exit Short,85
RSI,W6,Window Size,21
RSI,W6,Enter Long,85
RSI,W6,Exit Long,15
RSI,W6,Enter Short,-
RSI,W6,Exit Short,-
RMSE Informer,W1,Enter Long,0.002
RMSE Informer,W1,Exit Long,-
RMSE Informer,W1,Enter Short,-0.001
RMSE Informer,W1,Exit Short,0.001
RMSE Informer,W2,Enter Long,-
RMSE Informer,W2,Exit Long,-
RMSE Informer,W2,Enter Short,-0.001
RMSE Informer,W2,Exit Short,0.001
RMSE Informer,W3,Enter Long,-
RMSE Informer,W3,Exit Long,-
RMSE Informer,W3,Enter Short,-0.001
RMSE Informer,W3,Exit Short,0.001
RMSE Informer,W4,Enter Long,-
RMSE Informer,W4,Exit Long,-
RMSE Informer,W4,Enter Short,-0.001
RMSE Informer,W4,Exit Short,0.001
RMSE Informer,W5,Enter Long,-
RMSE Informer,W5,Exit Long,-
RMSE Informer,W5,Enter Short,-0.001
RMSE Informer,W5,Exit Short,0.001
RMSE Informer,W6,Enter Long,-
RMSE Informer,W6,Exit Long,-
RMSE Informer,W6,Enter Short,-0.001
RMSE Informer,W6,Exit Short,0.001
Quantile Informer,W1,Enter Long,-
Quantile Informer,W1,Exit Long,0.970
Quantile Informer,W1,Enter Short,0.980
Quantile Informer,W1,Exit Short,0.970
Quantile Informer,W1,Exchange Fee,0.003
Quantile Informer,W2,Enter Long,0.970
Quantile Informer,W2,Exit Long,-
Quantile Informer,W2,Enter Short,0.950
Quantile Informer,W2,Exit Short,-
Quantile Informer,W2,Exchange Fee,0.003
Quantile Informer,W3,Enter Long,0.990
Quantile Informer,W3,Exit Long,-
Quantile Informer,W3,Enter Short,0.950
Quantile Informer,W3,Exit Short,-
Quantile Informer,W3,Exchange Fee,0.002
Quantile Informer,W4,Enter Long,0.970
Quantile Informer,W4,Exit Long,0.990
Quantile Informer,W4,Enter Short,-
Quantile Informer,W4,Exit Short,0.900
Quantile Informer,W4,Exchange Fee,0.003
Quantile Informer,W5,Enter Long,0.900
Quantile Informer,W5,Exit Long,0.900
Quantile Informer,W5,Enter Short,-
Quantile Informer,W5,Exit Short,-
Quantile Informer,W5,Exchange Fee,0.002
Quantile Informer,W6,Enter Long,0.950
Quantile Informer,W6,Exit Long,0.950
Quantile Informer,W6,Enter Short,-
Quantile Informer,W6,Exit Short,-
Quantile Informer,W6,Exchange Fee,0.003
GMADL Informer,W1,Enter Long,0.004
GMADL Informer,W1,Exit Long,-
GMADL Informer,W1,Enter Short,-0.005
GMADL Informer,W1,Exit Short,-
GMADL Informer,W2,Enter Long,0.002
GMADL Informer,W2,Exit Long,-
GMADL Informer,W2,Enter Short,-0.001
GMADL Informer,W2,Exit Short,-
GMADL Informer,W3,Enter Long,-
GMADL Informer,W3,Exit Long,-
GMADL Informer,W3,Enter Short,-0.006
GMADL Informer,W3,Exit Short,0.003
GMADL Informer,W4,Enter Long,0.002
GMADL Informer,W4,Exit Long,-
GMADL Informer,W4,Enter Short,-0.005
GMADL Informer,W4,Exit Short,-
GMADL Informer,W5,Enter Long,0.002
GMADL Informer,W5,Exit Long,-
GMADL Informer,W5,Enter Short,-0.003
GMADL Informer,W5,Exit Short,-
GMADL Informer,W6,Enter Long,0.001
GMADL Informer,W6,Exit Long,-
GMADL Informer,W6,Enter Short,-0.007
GMADL Informer,W6,Exit Short,-