Window,Strategy,Portfolio_Value,Annualized_Return_Pct,Annualized_Std_Pct,Information_Ratio,Max_Drawdown_Pct,Modified_IR,Num_Trades,Long_Position_Pct,Short_Position_Pct
W1,Buy and Hold,0.930,-13.76,70.24,-0.196,51.87,-0.052,2,100.00,0.00
W1,MACD Strategy,0.375,-86.35,70.71,-1.221,71.90,-1.467,1542,52.05,47.95
W1,RSI Strategy,1.428,106.05,70.55,1.503,26.24,6.074,114,26.31,73.69
W1,RMSE Informer,0.965,-6.93,3.11,-2.227,3.54,-4.361,12,0.02,0.00
W1,Quantile Informer,1.117,25.15,43.69,0.576,16.27,0.889,365,0.00,45.14
W1,GMADL Informer,1.502,128.10,70.54,1.816,30.70,7.576,82,41.54,58.46
W2,Buy and Hold,0.549,-70.37,74.61,-0.943,63.35,-1.048,2,100.00,0.00
W2,MACD Strategy,0.498,-75.63,74.63,-1.013,62.97,-1.217,446,50.72,49.28
W2,RSI Strategy,1.368,88.76,74.58,1.190,27.34,3.864,78,61.40,38.60
W2,RMSE Informer,1.000,0.00,0.00,0.000,0.00,0.000,0,0.00,0.00
W2,Quantile Informer,0.941,-11.54,74.69,-0.154,44.84,-0.040,990,50.50,49.50
W2,GMADL Informer,1.635,170.94,74.67,2.289,30.47,12.844,522,20.20,79.80
W3,Buy and Hold,1.016,3.23,51.77,0.062,37.98,0.005,2,100.00,0.00
W3,MACD Strategy,1.081,17.10,51.79,0.330,20.87,0.270,154,58.24,41.76
W3,RSI Strategy,1.127,27.41,51.92,0.528,22.30,0.649,398,11.48,88.52
W3,RMSE Informer,1.000,0.00,0.00,0.000,0.00,0.000,0,0.00,0.00
W3,Quantile Informer,1.057,11.93,51.90,0.230,30.10,0.091,894,27.62,72.38
W3,GMADL Informer,1.198,44.15,19.18,2.302,7.68,13.227,16,0.00,17.86
W4,Buy and Hold,1.231,52.35,45.25,1.157,22.29,2.718,2,100.00,0.00
W4,MACD Strategy,1.612,163.18,45.34,3.599,21.23,27.660,190,44.69,55.31
W4,RSI Strategy,0.866,-25.30,19.03,-1.330,15.65,-2.150,205,23.63,0.00
W4,RMSE Informer,1.000,0.00,0.00,0.000,0.00,0.000,0,0.00,0.00
W4,Quantile Informer,0.825,-32.24,27.88,-1.156,22.72,-1.641,290,44.45,0.00
W4,GMADL Informer,1.673,183.80,45.26,4.061,24.78,30.125,62,65.14,34.86
W5,Buy and Hold,1.439,109.23,44.72,2.443,21.07,12.664,2,100.00,0.00
W5,MACD Strategy,1.346,82.57,32.85,2.514,15.44,13.447,94,49.06,0.00
W5,RSI Strategy,1.169,37.33,13.86,2.692,4.73,21.237,42,5.67,0.00
W5,RMSE Informer,0.667,-56.06,36.94,-1.518,42.77,-1.989,3,0.00,57.45
W5,Quantile Informer,0.984,-3.12,33.97,-0.092,20.63,-0.014,578,59.26,0.00
W5,GMADL Informer,1.582,153.60,45.11,3.405,14.37,36.394,130,44.70,55.30
W6,Buy and Hold,1.560,146.27,52.72,2.775,26.96,15.054,2,100.00,0.00
W6,MACD Strategy,1.179,39.63,34.65,1.144,28.87,1.570,111,47.58,0.00
W6,RSI Strategy,1.507,129.58,38.15,3.396,17.97,24.493,7,41.29,0.00
W6,RMSE Informer,1.000,0.00,0.00,0.000,0.00,0.000,0,0.00,0.00
W6,Quantile Informer,1.056,11.76,40.73,0.289,30.60,0.111,280,59.60,0.00
W6,GMADL Informer,1.253,57.92,52.71,1.099,32.66,1.949,34,97.21,2.79